,DENSITY,POP,City,State,abrev
12398,870.26320031,1243,Stoneville,North Carolina,NC
4319,196.73368827,286,Stonefort,Illinois,IL
2908,1464.6728523,54522,Stonecrest,Georgia,GA
15453,349.63484091,991,Stoneboro,Pennsylvania,PA
4320,14098.150541,4844,Stone Park,Illinois,IL
2909,3843.2522659,6324,Stone Mountain,Georgia,GA
11180,562.11586306,811,Stone Harbor,New Jersey,NJ
13625,398.69643513,171,Stone Creek,Ohio,OH
12397,286.08068172,5458,Stokesdale,North Carolina,NC
19307,1328.5803181,829,Stoddard,Wisconsin,WI
10795,87.709592591,23,Stockville,Nebraska,NE
5875,1795.4632747,195,Stockton,Iowa,IA
10086,901.96203074,1903,Stockton,Missouri,MO
1624,5044.5749006,311178,Stockton,California,CA
17980,406.41569547,684,Stockton,Utah,UT
8861,434.41251221,738,Stockton,Minnesota,MN
11179,939.12774308,513,Stockton,New Jersey,NJ
6553,773.22685866,1280,Stockton,Kansas,KS
4318,923.96402592,1724,Stockton,Illinois,IL
13624,1491.2063188,490,Stockport,Ohio,OH
5874,270.07794324,277,Stockport,Iowa,IA
16143,251.47373681,109,Stockholm,South Dakota,SD
19306,68.002420464,64,Stockholm,Wisconsin,WI
10794,265.56776624,45,Stockham,Nebraska,NE
15452,952.00201188,923,Stockertown,Pennsylvania,PA
17602,970.28384696,1602,Stockdale,Texas,TX
15451,1841.057582,499,Stockdale,Pennsylvania,PA
8057,833.4536025,1253,Stockbridge,Michigan,MI
2907,2168.2229804,29638,Stockbridge,Georgia,GA
19305,191.17651475,621,Stockbridge,Wisconsin,WI
3173,2411.3249004,225,Stites,Idaho,ID
17601,905.20937953,1796,Stinnett,Texas,TX
4978,2096.2958393,217,Stinesville,Indiana,IN
14263,1247.2152323,4044,Stilwell,Oklahoma,OK
14262,1706.0625877,50391,Stillwater,Oklahoma,OK
15450,66.478238577,207,Stillwater,Pennsylvania,PA
8860,2410.78102,19404,Stillwater,Minnesota,MN
11851,1363.2490585,1715,Stillwater,New York,NY
2906,169.181821,523,Stillmore,Georgia,GA
4317,1950.8664621,1059,Stillman Valley,Illinois,IL
4977,890.3629332,332,Stilesville,Indiana,IN
14261,1005.9967905,2716,Stigler,Oklahoma,OK
14260,547.2312705,19,Stidham,Oklahoma,OK
4316,3440.2022983,6620,Stickney,Illinois,IL
16142,1039.3838148,279,Stickney,South Dakota,SD
8859,1893.0975354,6125,Stewartville,Minnesota,MN
10085,748.89746356,740,Stewartsville,Missouri,MO
15449,2661.8081873,2244,Stewartstown,Pennsylvania,PA
11850,9367.1660762,1962,Stewart Manor,New York,NY
8858,672.67790603,544,Stewart,Minnesota,MN
4315,1163.5666459,721,Stewardson,Illinois,IL
4314,895.69115227,240,Steward,Illinois,IL
10318,1563.7300894,2025,Stevensville,Montana,MT
8056,1087.5925049,1135,Stevensville,Michigan,MI
397,253.55470369,1951,Stevenson,Alabama,AL
18518,962.05492789,1583,Stevenson,Washington,WA
19304,1524.5543839,26161,Stevens Point,Wisconsin,WI
13623,1695.3489948,17864,Steubenville,Ohio,OH
19303,20.028168531,124,Steuben,Wisconsin,WI
19302,1333.4319022,521,Stetsonville,Wisconsin,WI
7316,964.88211309,2724,Sterlington,Louisiana,LA
8055,3649.8634481,132964,Sterling Heights,Michigan,MI
17600,1026.2328157,1005,Sterling City,Texas,TX
10793,1142.1313815,465,Sterling,Nebraska,NE
17979,978.53911116,315,Sterling,Utah,UT
1924,1789.9486054,13630,Sterling,Colorado,CO
8054,514.67299662,503,Sterling,Michigan,MI
4313,2501.5276865,14609,Sterling,Illinois,IL
14259,957.02819366,770,Sterling,Oklahoma,OK
6552,1233.8516271,2210,Sterling,Kansas,KS
17599,1780.4633077,21164,Stephenville,Texas,TX
8053,770.47236077,836,Stephenson,Michigan,MI
18246,841.39882201,2041,Stephens City,Virginia,VA
1134,289.59563081,798,Stephens,Arkansas,AR
8857,832.58080509,648,Stephen,Minnesota,MN
12396,373.912502,565,Stem,North Carolina,NC
10084,987.00170873,155,Stella,Missouri,MO
10792,812.52047214,144,Stella,Nebraska,NE
10791,518.69413212,70,Steinauer,Nebraska,NE
18517,3166.0859854,6373,Steilacoom,Washington,WA
4312,2783.2799467,9331,Steger,Illinois,IL
8856,381.82573807,167,Steen,Minnesota,MN
10083,686.32169344,1661,Steelville,Missouri,MO
15448,3138.3965518,5949,Steelton,Pennsylvania,PA
4311,1278.1052213,1947,Steeleville,Illinois,IL
10790,248.99272677,58,Steele City,Nebraska,NE
12791,1278.5528903,710,Steele,North Dakota,ND
396,159.83365242,1073,Steele,Alabama,AL
10082,1055.9823921,1947,Steele,Missouri,MO
12395,513.33947684,1068,Stedman,North Carolina,NC
591,16.804171,571,Stebbins,Alaska,AK
1923,1301.5199721,13212,Steamboat Springs,Colorado,CO
5873,559.77131991,303,Steamboat Rock,Iowa,IA
4230,216.46459032,240,Ste. Marie,Illinois,IL
10033,1081.3696863,4442,Ste. Genevieve,Missouri,MO
14557,2735.4887985,8245,Stayton,Oregon,OR
18245,1251.0738628,24922,Staunton,Virginia,VA
4310,1277.2009113,4972,Staunton,Illinois,IL
4976,1500.3898547,519,Staunton,Indiana,IN
2905,676.07657841,2743,Statham,Georgia,GA
12394,1109.8389295,27042,Statesville,North Carolina,NC
2904,2126.8008939,31667,Statesboro,Georgia,GA
4975,998.84118238,139,State Line City,Indiana,IN
3172,444.96051049,49,State Line,Idaho,ID
9224,129.70475805,553,State Line,Mississippi,MS
15447,9295.0664202,42352,State College,Pennsylvania,PA
5872,1477.25373,1456,State Center,Iowa,IA
15446,18.507142487,165,Starrucca,Pennsylvania,PA
15845,126.18344592,189,Starr,South Carolina,SC
12790,902.88925902,117,Starkweather,North Dakota,ND
9223,991.98990238,25309,Starkville,Mississippi,MS
1922,754.55857192,55,Starkville,Colorado,CO
2406,753.76262479,5411,Starke,Florida,FL
10081,437.43055482,137,Stark City,Missouri,MO
6551,407.42395485,67,Stark,Kansas,KS
18516,624.19866741,133,Starbuck,Washington,WA
8855,784.91695966,1260,Starbuck,Minnesota,MN
19481,579.20632557,1597,Star Valley Ranch,Wyoming,WY
683,63.717595989,2303,Star Valley,Arizona,AZ
19301,259.88240016,557,Star Prairie,Wisconsin,WI
17598,1018.9976344,476,Star Harbor,Texas,TX
1133,437.68939849,2081,Star City,Arkansas,AR
18759,4042.7611897,1976,Star City,West Virginia,WV
12393,656.21153562,848,Star,North Carolina,NC
3171,1521.7229952,9940,Star,Idaho,ID
10789,1188.1062962,298,Stapleton,Nebraska,NE
2903,225.93659239,394,Stapleton,Georgia,GA
8854,620.90776094,2952,Staples,Minnesota,MN
17597,188.44402177,282,Staples,Texas,TX
10788,1873.6465016,234,Staplehurst,Nebraska,NE
8052,866.88631926,210,Stanwood,Michigan,MI
5871,838.09245367,662,Stanwood,Iowa,IA
18515,2464.9760094,7204,Stanwood,Washington,WA
16502,237.6649153,268,Stantonville,Tennessee,TN
12392,1322.9780466,778,Stantonsburg,North Carolina,NC
5870,700.22586468,641,Stanton,Iowa,IA
10787,869.07311481,1511,Stanton,Nebraska,NE
6992,1290.8572899,2661,Stanton,Kentucky,KY
17596,1547.8868977,3011,Stanton,Texas,TX
8051,667.71302529,1433,Stanton,Michigan,MI
12789,970.78226803,345,Stanton,North Dakota,ND
1623,12344.271918,38234,Stanton,California,CA
16501,825.78569286,423,Stanton,Tennessee,TN
18244,1165.9479041,1672,Stanley,Virginia,VA
5869,506.98196241,122,Stanley,Iowa,IA
3170,127.16590563,69,Stanley,Idaho,ID
12788,1426.0460479,2611,Stanley,North Dakota,ND
12391,1396.6563629,3742,Stanley,North Carolina,NC
7315,48.819339334,106,Stanley,Louisiana,LA
19300,867.19671819,3700,Stanley,Wisconsin,WI
5868,416.19754053,403,Stanhope,Iowa,IA
11178,1803.3449019,3314,Stanhope,New Jersey,NJ
4309,888.66380854,588,Stanford,Illinois,IL
6991,895.15929721,3686,Stanford,Kentucky,KY
10317,901.74718071,387,Stanford,Montana,MT
14556,1362.0009933,2089,Stanfield,Oregon,OR
12390,344.20417053,1531,Stanfield,North Carolina,NC
8050,642.77626744,1400,Standish,Michigan,MI
4308,231.08316738,147,Standard City,Illinois,IL
4307,288.16722732,205,Standard,Illinois,IL
10080,845.35077979,1186,Stanberry,Missouri,MO
18243,1080.3149822,386,Stanardsville,Virginia,VA
1132,486.4771296,1468,Stamps,Arkansas,AR
6990,1335.7198428,785,Stamping Ground,Kentucky,KY
10786,377.59631923,179,Stamford,Nebraska,NE
17595,490.2659569,2923,Stamford,Texas,TX
1979,3449.796941,129775,Stamford,Connecticut,CT
11849,772.17447432,1029,Stamford,New York,NY
12389,1919.3693746,15892,Stallings,North Carolina,NC
12388,341.60672478,396,Staley,North Carolina,NC
17594,510.77802577,589,Stagecoach,Texas,TX
6550,1044.5204976,956,Stafford,Kansas,KS
17593,2616.620458,18312,Stafford,Texas,TX
13622,220.70751716,75,Stafford,Ohio,OH
5867,908.51187754,466,Stacyville,Iowa,IA
8853,472.86820933,1528,Stacy,Minnesota,MN
8816,57.473570347,59,St. Vincent,Minnesota,MN
12771,305.36305816,310,St. Thomas,North Dakota,ND
10044,277.90349152,272,St. Thomas,Missouri,MO
15823,741.58143218,1798,St. Stephen,South Carolina,SC
8815,230.63403553,859,St. Stephen,Minnesota,MN
4237,689.13957081,407,St. Rose,Illinois,IL
8814,190.98898622,70,St. Rosa,Minnesota,MN
10043,737.92937691,5822,St. Robert,Missouri,MO
6959,4272.2666553,1508,St. Regis Park,Kentucky,KY
15368,1163.0110542,371,St. Petersburg,Pennsylvania,PA
2385,4286.3121962,265098,St. Petersburg,Florida,FL
10042,2541.0668911,57127,St. Peters,Missouri,MO
8813,1956.4281945,11935,St. Peter,Minnesota,MN
4236,656.9263908,342,St. Peter,Illinois,IL
2384,4538.039733,9649,St. Pete Beach,Florida,FL
12353,1540.8092345,2332,St. Pauls,North Carolina,NC
8812,1817.1177878,5395,St. Paul Park,Minnesota,MN
5822,329.43956855,125,St. Paul,Iowa,IA
18233,631.95015747,873,St. Paul,Virginia,VA
17512,699.37424831,1067,St. Paul,Texas,TX
4938,3560.4889429,1064,St. Paul,Indiana,IN
14538,1549.7513752,456,St. Paul,Oregon,OR
1112,392.54252029,104,St. Paul,Arkansas,AR
577,12.296495785,496,St. Paul,Alaska,AK
10760,1983.4015058,2349,St. Paul,Nebraska,NE
10041,335.08548358,2411,St. Paul,Missouri,MO
6517,512.02144352,597,St. Paul,Kansas,KS
8811,5920.2000049,307695,St. Paul,Minnesota,MN
13568,1236.2905663,2003,St. Paris,Ohio,OH
5821,413.75573446,101,St. Olaf,Iowa,IA
19268,947.27853429,752,St. Nazianz,Wisconsin,WI
7503,884.33855108,1026,St. Michaels,Maryland,MD
576,19.082722641,415,St. Michael,Alaska,AK
8810,547.63391162,17892,St. Michael,Minnesota,MN
15822,994.93838083,1912,St. Matthews,South Carolina,SC
6958,4159.212582,18199,St. Matthews,Kentucky,KY
8809,1005.6826799,388,St. Marys Point,Minnesota,MN
15367,124.43397228,12359,St. Marys,Pennsylvania,PA
13567,1780.7776485,8224,St. Marys,Ohio,OH
5820,880.38533183,125,St. Marys,Iowa,IA
18748,1748.0064806,1790,St. Marys,West Virginia,WV
6516,2225.7872314,2636,St. Marys,Kansas,KS
2876,797.2886313,18196,St. Marys,Georgia,GA
575,12.711687003,567,St. Mary's,Alaska,AK
10040,582.36625892,349,St. Mary,Missouri,MO
7296,1910.1748095,5903,St. Martinville,Louisiana,LA
10039,616.8580303,1188,St. Martins,Missouri,MO
8808,392.88792306,344,St. Martin,Minnesota,MN
2383,162.86346045,319,St. Marks,Florida,FL
3161,2061.6538336,2448,St. Maries,Idaho,ID
2382,715.19948798,642,St. Lucie Village,Florida,FL
5819,507.35148673,135,St. Lucas,Iowa,IA
13566,1519.559194,385,St. Louisville,Ohio,OH
8807,4616.4068515,49039,St. Louis Park,Minnesota,MN
10038,4904.7685335,302838,St. Louis,Missouri,MO
14224,16.947720109,159,St. Louis,Oklahoma,OK
8024,2154.9032829,7143,St. Louis,Michigan,MI
4235,623.37094981,606,St. Libory,Illinois,IL
4937,98.257670711,671,St. Leon,Indiana,IN
8806,363.85067821,92,St. Leo,Minnesota,MN
2381,1170.6891075,1376,St. Leo,Florida,FL
15366,2026.7212333,1817,St. Lawrence,Pennsylvania,PA
16129,560.01191022,192,St. Lawrence,South Dakota,SD
4234,1886.1640573,3928,St. Joseph,Illinois,IL
16474,215.32872697,811,St. Joseph,Tennessee,TN
7295,1122.0237605,999,St. Joseph,Louisiana,LA
10037,1725.1186063,75959,St. Joseph,Missouri,MO
8805,1815.6182893,7147,St. Joseph,Minnesota,MN
8023,2608.6462997,8355,St. Joseph,Michigan,MI
11802,1922.4356206,1687,St. Johnsville,New York,NY
673,135.7498973,3517,St. Johns,Arizona,AZ
4233,285.35756805,207,St. Johns,Illinois,IL
8022,1965.543504,7930,St. Johns,Michigan,MI
4936,1437.6583056,18047,St. John,Indiana,IN
6515,611.01095405,1188,St. John,Kansas,KS
12770,774.25391115,342,St. John,North Dakota,ND
18494,840.94343887,564,St. John,Washington,WA
10036,4459.3640396,6374,St. John,Missouri,MO
1111,100.05206121,124,St. Joe,Arkansas,AR
4935,1389.2002606,466,St. Joe,Indiana,IN
17511,945.89201666,1018,St. Jo,Texas,TX
8804,1908.1755078,4444,St. James,Minnesota,MN
12352,640.80841805,5837,St. James,North Carolina,NC
10035,951.45525411,4067,St. James,Missouri,MO
4232,1613.3495351,1266,St. Jacob,Illinois,IL
10312,1557.2047694,830,St. Ignatius,Montana,MT
8021,880.35174182,2322,St. Ignace,Michigan,MI
8803,343.94351423,269,St. Hilaire,Minnesota,MN
13565,1583.7614038,2540,St. Henry,Ohio,OH
14537,2884.3331417,13801,St. Helens,Oregon,OR
12351,75.383774186,425,St. Helena,North Carolina,NC
10759,204.94652009,91,St. Helena,Nebraska,NE
1562,1241.6148542,6152,St. Helena,California,CA
17510,84.065570273,2491,St. Hedwig,Texas,TX
574,3.0189167901,105,St. George,Alaska,AK
6514,1457.9962069,989,St. George,Kansas,KS
15821,767.08869229,2183,St. George,South Carolina,SC
17958,1134.168291,87178,St. George,Utah,UT
7294,248.3441839,7367,St. Gabriel,Louisiana,LA
4231,841.74204543,628,St. Francisville,Illinois,IL
7293,888.08544794,1616,St. Francisville,Louisiana,LA
6513,1510.6204811,1294,St. Francis,Kansas,KS
1110,632.37628591,233,St. Francis,Arkansas,AR
19267,3702.810644,9514,St. Francis,Wisconsin,WI
16128,1579.6499607,572,St. Francis,South Dakota,SD
8802,335.89926488,7817,St. Francis,Minnesota,MN
370,169.72630651,637,St. Florian,Alabama,AL
4229,1103.9932716,1395,St. Elmo,Illinois,IL
10034,327.59133368,341,St. Elizabeth,Missouri,MO
10758,1002.3649449,660,St. Edward,Nebraska,NE
5818,342.22500238,129,St. Donatus,Iowa,IA
4228,1798.8605141,538,St. David,Illinois,IL
19266,409.28000349,2042,St. Croix Falls,Wisconsin,WI
8801,1700.6865489,68043,St. Cloud,Minnesota,MN
2380,2667.851805,54115,St. Cloud,Florida,FL
10032,31.459783708,39,St. Cloud,Missouri,MO
19265,504.07513177,464,St. Cloud,Wisconsin,WI
15365,2448.5354455,74,St. Clairsville,Pennsylvania,PA
13564,2072.7268549,5012,St. Clairsville,Ohio,OH
8020,5089.5258671,59409,St. Clair Shores,Michigan,MI
15364,2303.9228506,2841,St. Clair,Pennsylvania,PA
8800,1247.7477535,831,St. Clair,Minnesota,MN
10031,985.31374803,4698,St. Clair,Missouri,MO
8019,1804.9232597,5306,St. Clair,Michigan,MI
10030,2866.4336609,70764,St. Charles,Missouri,MO
6957,268.89535768,267,St. Charles,Kentucky,KY
5817,1155.6954748,621,St. Charles,Iowa,IA
8799,1018.7342895,3769,St. Charles,Minnesota,MN
4227,2293.7509532,33032,St. Charles,Illinois,IL
1109,234.85046834,210,St. Charles,Arkansas,AR
3160,217.55920956,152,St. Charles,Idaho,ID
8018,913.30468266,1908,St. Charles,Michigan,MI
18232,638.92243476,113,St. Charles,Virginia,VA
8798,2296.7417793,2388,St. Bonifacius,Minnesota,MN
13563,2820.3624499,4360,St. Bernard,Ohio,OH
2379,3322.4920418,7026,St. Augustine Beach,Florida,FL
4226,192.19476556,114,St. Augustine,Illinois,IL
2378,1542.3105174,14576,St. Augustine,Florida,FL
8797,126.44170132,3752,St. Augusta,Minnesota,MN
3159,2309.2536331,3571,St. Anthony,Idaho,ID
5816,178.42421069,100,St. Anthony,Iowa,IA
8795,4048.0394956,9066,St. Anthony,Minnesota,MN
8796,176.15453639,87,St. Anthony,Minnesota,MN
5815,1035.834132,1119,St. Ansgar,Iowa,IA
4225,1516.031826,1179,St. Anne,Illinois,IL
10029,3991.4561096,12709,St. Ann,Missouri,MO
18043,3363.0841997,6813,St. Albans,Vermont,VT
18747,2785.4443656,10069,St. Albans,West Virginia,WV
8852,130.87843895,106,Squaw Lake,Minnesota,MN
4974,1134.6692292,199,Spurgeon,Indiana,IN
17592,760.64001885,1219,Spur,Texas,TX
12387,458.77636342,2148,Spruce Pine,North Carolina,NC
17978,2309.221564,33104,Springville,Utah,UT
5866,1594.6632943,1139,Springville,Iowa,IA
395,479.47160152,4265,Springville,Alabama,AL
11848,1162.7054791,4279,Springville,New York,NY
10785,357.02612143,237,Springview,Nebraska,NE
1131,181.10576492,98,Springtown,Arkansas,AR
17590,1017.0402909,3049,Springtown,Texas,TX
4973,1172.1396342,141,Springport,Indiana,IN
8049,623.20166184,785,Springport,Michigan,MI
17589,101.16357884,104,Springlake,Texas,TX
7314,779.52250692,4842,Springhill,Louisiana,LA
8047,1420.1864519,5203,Springfield,Michigan,MI
16141,1881.7998038,1940,Springfield,South Dakota,SD
10079,2041.6680123,168122,Springfield,Missouri,MO
8846,1111.7232499,2015,Springfield,Minnesota,MN
13620,2302.5654392,59282,Springfield,Ohio,OH
16499,1312.349997,16957,Springfield,Tennessee,TN
4304,1880.8360952,114694,Springfield,Illinois,IL
10784,2174.7304967,1612,Springfield,Nebraska,NE
6987,716.0601884,2946,Springfield,Kentucky,KY
15844,282.38494112,490,Springfield,South Carolina,SC
2405,2271.4207581,9452,Springfield,Florida,FL
14555,3978.4985092,62979,Springfield,Oregon,OR
7313,365.88206168,514,Springfield,Louisiana,LA
1921,1224.3350412,1379,Springfield,Colorado,CO
7574,4864.6704718,155032,Springfield,Massachusetts,MA
2902,1471.9703198,4045,Springfield,Georgia,GA
682,171.98573914,1982,Springerville,Arizona,AZ
4303,818.38755406,102,Springerton,Illinois,IL
14258,46.107834679,690,Springer,Oklahoma,OK
11314,625.91145292,913,Springer,New Mexico,NM
13619,2256.1192046,11205,Springdale,Ohio,OH
15843,1012.7914418,2739,Springdale,South Carolina,SC
17977,131.95628961,609,Springdale,Utah,UT
15444,3541.0209752,3306,Springdale,Pennsylvania,PA
1130,1731.7205192,81029,Springdale,Arkansas,AR
18514,262.64102078,297,Springdale,Washington,WA
12787,97.670282705,36,Springbrook,North Dakota,ND
5864,236.93652961,143,Springbrook,Iowa,IA
15442,541.69917066,449,Springboro,Pennsylvania,PA
13618,2014.2299084,18794,Springboro,Ohio,OH
17591,3564.9664098,4333,Spring Valley Village,Texas,TX
8851,823.39323115,2421,Spring Valley,Minnesota,MN
11847,16045.507975,32261,Spring Valley,New York,NY
6989,3481.717623,688,Spring Valley,Kentucky,KY
19299,336.13337268,1351,Spring Valley,Wisconsin,WI
4306,705.66302953,5199,Spring Valley,Illinois,IL
13621,1874.1275952,499,Spring Valley,Ohio,OH
8850,5104.6188508,1794,Spring Park,Minnesota,MN
6988,5357.8867026,297,Spring Mill,Kentucky,KY
8849,3470.9517326,6926,Spring Lake Park,Minnesota,MN
11177,3518.0630815,4555,Spring Lake Heights,New Jersey,NJ
4972,1473.9103383,225,Spring Lake,Indiana,IN
12386,516.92347565,12005,Spring Lake,North Carolina,NC
11176,2195.1499443,2925,Spring Lake,New Jersey,NJ
8048,1995.3343447,2493,Spring Lake,Michigan,MI
12385,863.9482649,1307,Spring Hope,North Carolina,NC
6549,797.19498905,6967,Spring Hill,Kansas,KS
5865,512.18236028,65,Spring Hill,Iowa,IA
8848,124.58174332,90,Spring Hill,Minnesota,MN
16500,1547.9315787,41464,Spring Hill,Tennessee,TN
4971,970.69714945,104,Spring Hill,Indiana,IN
8847,1274.755256,1272,Spring Grove,Minnesota,MN
15445,2782.8569741,2179,Spring Grove,Pennsylvania,PA
4305,648.93243195,5709,Spring Grove,Illinois,IL
4970,1059.9891405,322,Spring Grove,Indiana,IN
19298,982.78354956,1641,Spring Green,Wisconsin,WI
16498,698.96550282,1865,Spring City,Tennessee,TN
17976,756.03433827,1067,Spring City,Utah,UT
15443,4321.0476131,3317,Spring City,Pennsylvania,PA
17588,121.67058213,249,Spring Branch,Texas,TX
4302,631.82549536,467,Spring Bay,Illinois,IL
14554,518.82218139,150,Spray,Oregon,OR
5863,109.88141362,82,Spragueville,Iowa,IA
18513,432.02004315,450,Sprague,Washington,WA
10783,1471.6286857,150,Sprague,Nebraska,NE
11175,3600.2333189,8307,Spotswood,New Jersey,NJ
14257,3739.9672004,308,Sportsmen Acres,Oklahoma,OK
19297,646.58387685,2609,Spooner,Wisconsin,WI
18512,2642.8763283,99703,Spokane Valley,Washington,WA
18511,3187.4389976,219190,Spokane,Washington,WA
17587,412.0685193,99,Spofford,Texas,TX
17586,699.57656102,2127,Splendora,Texas,TX
6548,153.55151781,80,Spivey,Kansas,KS
14256,940.83236783,2171,Spiro,Oklahoma,OK
12786,85.005848895,97,Spiritwood Lake,North Dakota,ND
3169,1000.298284,2513,Spirit Lake,Idaho,ID
5862,1128.2438921,5070,Spirit Lake,Iowa,IA
12384,789.11244025,4227,Spindale,North Carolina,NC
5861,789.90879088,347,Spillville,Iowa,IA
4301,546.35217409,198,Spillertown,Illinois,IL
10078,386.50508515,244,Spickard,Missouri,MO
8845,1020.9346823,1209,Spicer,Minnesota,MN
4969,1673.4009207,847,Spiceland,Indiana,IN
14255,786.72377583,1315,Sperry,Oklahoma,OK
13617,2246.3179407,2167,Spencerville,Ohio,OH
11846,2634.1109868,3641,Spencerport,New York,NY
5860,1009.4574236,11031,Spencer,Iowa,IA
12383,1056.5325498,3241,Spencer,North Carolina,NC
11845,686.81088585,711,Spencer,New York,NY
19296,961.6381009,1887,Spencer,Wisconsin,WI
16497,250.49952798,1642,Spencer,Tennessee,TN
18758,1659.8089599,2088,Spencer,West Virginia,WV
16140,540.76647938,145,Spencer,South Dakota,SD
10782,811.3793179,423,Spencer,Nebraska,NE
4968,1418.4426819,2248,Spencer,Indiana,IN
14254,741.61968783,3981,Spencer,Oklahoma,OK
3168,28.03307431,32,Spencer,Idaho,ID
13616,796.10837602,785,Spencer,Ohio,OH
15441,1143.8914157,1108,Speers,Pennsylvania,PA
4967,2558.2849602,12159,Speedway,Indiana,IN
12382,261.41262768,74,Speed,North Carolina,NC
6547,231.61142965,34,Speed,Kansas,KS
11844,6.7250950013,300,Speculator,New York,NY
6546,1263.0071106,793,Spearville,Kansas,KS
7312,64.899525883,134,Spearsville,Louisiana,LA
17585,1572.894063,3284,Spearman,Texas,TX
16139,711.23032309,11688,Spearfish,South Dakota,SD
14253,1157.1477698,433,Spavinaw,Oklahoma,OK
4300,1090.1294323,861,Spaulding,Illinois,IL
14252,53.918728409,172,Spaulding,Oklahoma,OK
15440,424.45482977,288,Spartansburg,Pennsylvania,PA
15842,1904.4081118,37644,Spartanburg,South Carolina,SC
10077,1547.3632047,1916,Sparta,Missouri,MO
4299,387.28385562,4326,Sparta,Illinois,IL
8046,1766.3122829,4362,Sparta,Michigan,MI
19295,1233.4045827,9791,Sparta,Wisconsin,WI
6986,43.906877658,275,Sparta,Kentucky,KY
2901,675.91573392,1228,Sparta,Georgia,GA
16496,735.56287931,4945,Sparta,Tennessee,TN
13615,1819.6771861,158,Sparta,Ohio,OH
12381,733.52891125,1759,Sparta,North Carolina,NC
4298,650.08203724,372,Sparland,Illinois,IL
2900,503.11071778,1995,Sparks,Georgia,GA
10882,2909.9094698,104246,Sparks,Nevada,NV
14251,431.68752071,170,Sparks,Oklahoma,OK
1129,299.81519073,387,Sparkman,Arkansas,AR
394,297.27419411,8985,Spanish Fort,Alabama,AL
17975,2493.1537967,39961,Spanish Fork,Utah,UT
18510,898.4350635,314,Spangle,Washington,WA
10781,1380.060891,443,Spalding,Nebraska,NE
2404,614.04619677,7981,Southwest Ranches,Florida,FL
15438,5183.8607051,2031,Southwest Greensburg,Pennsylvania,PA
10076,658.02610092,963,Southwest City,Missouri,MO
17584,7547.0316659,1881,Southside Place,Texas,TX
392,464.3202047,8819,Southside,Alabama,AL
1128,403.76983949,3965,Southside,Arkansas,AR
4965,2810.7359344,1764,Southport,Indiana,IN
12380,968.49551543,3828,Southport,North Carolina,NC
15434,1999.6346813,2099,Southmont,Pennsylvania,PA
17581,390.71955877,1092,Southmayd,Texas,TX
17580,1478.070891,32269,Southlake,Texas,TX
6983,2709.1593999,3942,Southgate,Kentucky,KY
8041,4231.1542136,29088,Southgate,Michigan,MI
8040,2786.319266,73158,Southfield,Michigan,MI
4292,3036.0942655,1582,Southern View,Illinois,IL
12379,738.46701642,2915,Southern Shores,North Carolina,NC
12378,856.76619344,14277,Southern Pines,North Carolina,NC
7573,836.58290828,16931,Southbridge Town,Massachusetts,MA
9222,1329.5657463,54944,Southaven,Mississippi,MS
11837,489.4185235,3301,Southampton,New York,NY
13614,2517.8045003,2086,South Zanesville,Ohio,OH
4297,1155.3221489,648,South Wilmington,Illinois,IL
15439,3234.8824647,6103,South Williamsport,Pennsylvania,PA
4966,1830.8193465,1759,South Whitley,Indiana,IN
13613,616.45970182,809,South Webster,Ohio,OH
17974,1622.2320629,7518,South Weber,Utah,UT
19294,554.33983918,474,South Wayne,Wisconsin,WI
15437,1144.7470793,1010,South Waverly,Pennsylvania,PA
393,882.24866583,768,South Vinemont,Alabama,AL
13612,636.27842755,401,South Vienna,Ohio,OH
681,5547.7122982,5697,South Tucson,Arizona,AZ
11174,3263.0768704,3777,South Toms River,New Jersey,NJ
8844,3582.6035881,20145,South St. Paul,Minnesota,MN
13611,1492.6764626,361,South Solon,Ohio,OH
10780,2003.5840031,12838,South Sioux City,Nebraska,NE
16138,158.22413204,221,South Shore,South Dakota,SD
6985,1619.1309086,1063,South Shore,Kentucky,KY
1622,7341.9300115,67733,South San Francisco,California,CA
17973,3654.0515597,25365,South Salt Lake,Utah,UT
13610,975.66328881,201,South Salem,Ohio,OH
13609,996.3250385,3773,South Russell,Ohio,OH
4296,917.09885607,2001,South Roxana,Illinois,IL
8045,510.25966938,1671,South Rockwood,Michigan,MI
11173,5753.2994938,16023,South River,New Jersey,NJ
15436,2109.7100532,430,South Renovo,Pennsylvania,PA
8044,2023.5825708,737,South Range,Michigan,MI
18509,1145.5146572,444,South Prairie,Washington,WA
7370,2124.4547245,25606,South Portland,Maine,ME
13608,1316.7942605,3870,South Point,Ohio,OH
11172,2908.7019902,24131,South Plainfield,New Jersey,NJ
16495,367.15530862,3018,South Pittsburg,Tennessee,TN
4295,2190.1732708,1094,South Pekin,Illinois,IL
2403,8387.3177961,5117,South Pasadena,Florida,FL
1621,7518.0371041,25611,South Pasadena,California,CA
6984,56.907983163,7,South Park View,Kentucky,KY
2402,14666.724468,1471,South Palm Beach,Florida,FL
17583,1044.96613,2808,South Padre Island,Texas,TX
17972,4648.2966406,17146,South Ogden,Utah,UT
11843,5802.4596271,3502,South Nyack,New York,NY
15435,2051.1812434,665,South New Castle,Pennsylvania,PA
17582,223.12837288,360,South Mountain,Texas,TX
19293,4307.8890939,20801,South Milwaukee,Wisconsin,WI
2401,5389.6175217,12219,South Miami,Florida,FL
